LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2007
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110150 Seringueiras";-;5;-;-;2;2;5;2;-;2;3;-;21
"110160 Theobroma";-;-;-;-;1;2;1;1;1;-;-;-;6
"110170 Urupá";-;-;1;-;-;-;-;-;-;-;1;-;2
"110175 Vale do Anari";2;-;-;-;1;1;2;-;-;-;-;-;6
"110180 Vale do Paraíso";-;-;2;1;-;-;-;-;-;-;-;-;3
"110030 Vilhena";4;9;4;-;4;9;15;17;7;10;3;-;82
"110000 Município ignorado - RO";-;-;-;-;2;-;-;-;-;-;-;-;2
"120001 Acrelândia";-;-;2;4;5;2;-;2;1;4;-;1;21
"120005 Assis Brasil";7;8;3;3;6;4;10;5;5;4;3;2;60
"120010 Brasiléia";7;1;6;3;7;4;12;8;2;2;5;4;61
"120013 Bujari";5;2;2;6;3;7;1;3;4;7;5;5;50
"120017 Capixaba";1;4;1;3;1;3;2;-;1;1;1;-;18
"120020 Cruzeiro do Sul";1;1;2;1;5;1;1;-;1;1;2;1;17
"120025 Epitaciolândia";1;4;2;-;3;2;1;1;-;2;-;1;17
"120030 Feijó";3;2;3;6;3;4;4;2;3;5;4;-;39
"120032 Jordão";1;2;4;1;2;1;-;-;1;1;-;-;13
"120033 Mâncio Lima";2;1;2;-;4;-;-;4;4;4;2;1;24
"120034 Manoel Urbano";4;1;4;1;3;2;4;4;3;2;3;-;31
"120035 Marechal Thaumaturgo";4;3;1;-;3;4;3;4;5;4;5;6;42
"120038 Plácido de Castro";2;2;-;-;5;1;-;7;2;1;3;2;25
"120080 Porto Acre";6;3;6;1;7;1;7;5;1;4;4;4;49
"120039 Porto Walter";1;1;1;-;1;-;-;-;4;1;-;-;9
"120040 Rio Branco";16;12;14;11;14;12;11;21;21;24;13;14;183
"120042 Rodrigues Alves";3;-;2;1;-;-;-;-;1;-;-;1;8
"120043 Santa Rosa do Purus";-;1;-;2;1;-;1;1;-;2;-;-;8
"120050 Sena Madureira";12;10;12;6;7;3;6;3;6;10;5;2;82
"120045 Senador Guiomard";4;-;-;2;2;1;-;1;-;2;-;-;12
"120060 Tarauacá";-;-;1;2;7;9;7;6;6;3;5;7;53
"120070 Xapuri";4;16;15;10;11;11;9;9;15;8;3;13;124
"130002 Alvarães";-;-;-;-;1;1;-;-;-;-;-;-;2
"130008 Anamã";-;-;-;-;2;-;-;1;-;1;-;-;4
"130014 Apuí";3;9;10;8;4;3;8;4;6;1;7;-;63
"130030 Autazes";1;-;-;-;-;3;2;1;1;1;4;-;13
"130040 Barcelos";2;1;1;1;-;1;1;-;5;1;-;5;18
"130050 Barreirinha";-;-;-;-;-;-;-;-;1;-;-;1;2
"130060 Benjamin Constant";-;-;-;-;1;-;-;-;-;-;-;-;1
"130070 Boca do Acre";1;2;3;6;3;2;3;10;2;7;8;-;47
"130080 Borba";-;2;-;1;1;-;1;-;1;-;-;-;6
"130083 Caapiranga";-;-;-;-;-;-;-;-;-;-;1;-;1
"130090 Canutama";-;-;-;-;1;-;1;-;-;-;-;-;2
"130100 Carauari";2;-;3;1;3;2;3;1;-;-;1;1;17
"130110 Careiro";-;-;1;1;4;1;-;-;2;-;1;1;11
"130120 Coari";1;1;1;2;2;-;-;-;1;2;5;-;15
"130130 Codajás";-;-;1;-;-;-;2;-;1;-;-;-;4
"130140 Eirunepé";2;-;2;3;5;7;2;4;3;2;4;3;37
"130150 Envira";1;2;1;2;3;3;-;6;-;2;4;4;28
"130165 Guajará";-;1;-;-;1;1;-;-;-;-;1;-;4
"130170 Humaitá";2;1;1;2;1;1;1;1;-;1;2;-;13
"130180 Ipixuna";-;-;2;4;3;2;2;4;4;2;1;1;25
"130185 Iranduba";-;-;-;1;1;-;1;-;-;-;-;-;3
"130190 Itacoatiara";14;23;28;22;30;16;6;3;4;8;20;10;184
"130195 Itamarati";1;-;-;-;1;-;-;-;-;-;-;-;2
"130200 Itapiranga";-;1;-;-;1;-;-;1;-;1;1;-;5
"130210 Japurá";-;-;1;1;-;-;-;-;-;-;-;-;2
"130220 Juruá";-;-;-;-;1;2;-;-;2;1;-;2;8
"130240 Lábrea";-;2;3;-;4;9;7;2;3;2;-;1;33
"130250 Manacapuru";1;1;1;-;1;-;2;-;-;3;1;1;11
"130260 Manaus";75;59;93;103;69;30;14;10;17;28;67;42;607
"130270 Manicoré";-;1;1;1;1;5;-;1;1;-;-;-;11
"130280 Maraã";-;1;-;-;-;-;1;-;1;1;-;-;4
"130290 Maués";1;-;-;-;1;2;-;2;1;1;-;1;9
"130300 Nhamundá";2;1;2;2;-;-;1;1;1;-;-;-;10
"130310 Nova Olinda do Norte";1;-;-;1;1;-;-;1;-;-;-;-;4
"130320 Novo Airão";1;1;1;1;5;2;2;-;1;-;3;3;20
"130330 Novo Aripuanã";2;-;4;6;1;2;5;2;4;1;2;1;30
"130340 Parintins";-;-;2;3;6;2;-;1;2;-;1;-;17
"130350 Pauini";-;1;1;1;-;-;-;-;-;-;-;-;3
"130353 Presidente Figueiredo";24;40;42;75;51;17;13;6;9;13;31;13;334
"130356 Rio Preto da Eva";51;72;69;87;55;44;18;19;17;36;53;52;573
"130360 Santa Isabel do Rio Negro";1;1;1;2;-;-;1;-;-;-;-;-;6
"130370 Santo Antônio do Içá";-;-;1;-;-;-;2;-;-;1;-;-;4
"130380 São Gabriel da Cachoeira";2;-;1;1;1;3;3;1;2;1;1;1;17
"130390 São Paulo de Olivença";-;-;-;-;-;1;-;-;-;-;1;-;2
"130395 São Sebastião do Uatumã";1;-;-;-;-;-;-;-;-;-;-;-;1
"130400 Silves";-;-;-;2;2;-;-;-;-;-;1;-;5
"130406 Tabatinga";-;-;-;1;-;1;-;-;-;-;-;-;2
"130420 Tefé";4;-;1;-;2;-;2;2;-;-;1;3;15
"130426 Uarini";-;-;-;1;-;1;-;-;-;-;1;-;3
"130430 Urucará";-;-;2;-;2;1;-;-;1;-;-;-;6
"140005 Alto Alegre";-;1;5;6;-;1;1;-;-;1;-;-;15
"140002 Amajari";-;-;3;2;-;-;1;-;-;-;-;-;6
"140010 Boa Vista";-;1;1;1;-;1;1;1;-;1;-;-;7
"140015 Bonfim";-;-;1;-;-;2;-;2;1;-;-;-;6
"140017 Cantá";-;3;4;4;3;2;3;2;1;-;-;-;22
"140020 Caracaraí";4;1;3;3;2;1;5;-;2;-;-;-;21
"140023 Caroebe";5;6;10;5;10;4;5;2;-;2;1;4;54
"140028 Iracema";2;-;1;-;-;-;1;-;-;-;1;-;5
"140030 Mucajaí";1;1;1;3;4;1;1;-;1;-;-;2;15
"140045 Pacaraima";6;1;14;8;7;-;-;4;1;-;-;-;41
"140047 Rorainópolis";5;14;24;19;12;5;2;2;-;1;4;1;89
"140050 São João da Baliza";-;1;-;6;3;2;2;1;2;-;-;-;17
"140060 São Luiz";-;1;1;-;2;-;-;-;-;1;-;-;5
"140070 Uiramutã";-;1;-;2;-;2;3;1;-;-;-;1;10
"150010 Abaetetuba";-;-;-;-;-;1;-;-;1;-;-;1;3
"150013 Abel Figueiredo";-;-;3;1;2;2;1;3;-;3;-;1;16
"150020 Acará";1;3;7;3;4;-;-;-;1;1;-;1;21
"150030 Afuá";-;1;-;-;-;-;-;-;1;-;-;-;2
"150034 Água Azul do Norte";-;2;-;2;3;1;3;5;5;1;2;-;24
"150040 Alenquer";4;9;16;5;2;-;3;3;3;12;7;4;68
"150050 Almeirim";16;15;12;17;24;19;12;15;2;10;15;19;176
"150060 Altamira";11;7;11;13;10;9;4;9;12;8;16;8;118
"150070 Anajás";-;1;1;-;-;-;-;-;1;-;-;-;3
"150080 Ananindeua";-;-;-;2;-;-;1;-;-;-;1;-;4
"150085 Anapu";9;8;4;-;6;7;5;3;8;8;8;12;78
"150090 Augusto Corrêa";1;2;1;2;-;-;-;-;3;-;-;-;9
"150095 Aurora do Pará";1;2;1;-;2;3;-;1;1;1;3;1;16
"150100 Aveiro";-;2;3;1;2;1;2;2;3;3;4;3;26
"150110 Bagre";2;-;-;2;5;2;4;1;2;6;1;2;27
"150120 Baião";3;3;11;16;3;1;2;2;1;2;1;-;45
"150125 Bannach";-;-;-;-;1;3;-;-;-;1;1;1;7
"150130 Barcarena";1;-;-;-;-;-;-;1;-;-;-;-;2
"150140 Belém";-;-;1;-;-;2;-;-;-;-;-;-;3
"150145 Belterra";6;4;7;3;3;2;2;1;1;3;1;-;33
"150150 Benevides";-;-;-;1;1;-;-;-;-;-;-;2;4
"150157 Bom Jesus do Tocantins";1;-;-;-;-;-;-;-;1;1;2;2;7
"150170 Bragança";1;4;-;2;1;1;2;2;1;1;-;3;18
"150172 Brasil Novo";8;2;4;2;4;1;3;-;5;8;9;8;54
"150178 Breu Branco";8;4;7;5;3;6;1;7;6;17;5;2;71
"150180 Breves";-;-;-;-;-;-;-;1;-;-;-;-;1
"150190 Bujaru";-;2;1;1;-;-;-;-;-;1;-;3;8
"150200 Cachoeira do Arari";1;-;1;-;-;-;-;-;-;-;-;-;2
"150195 Cachoeira do Piriá";7;8;9;13;4;1;2;-;-;1;3;-;48
"150210 Cametá";3;2;-;2;5;-;1;1;1;4;2;-;21
"150215 Canaã dos Carajás";1;-;1;2;1;-;-;1;-;-;-;1;7
"150220 Capanema";-;-;1;3;2;-;-;-;-;2;1;5;14
"150230 Capitão Poço";1;1;1;-;-;1;-;1;-;-;-;1;6
"150240 Castanhal";-;-;-;-;1;2;1;1;-;3;1;1;10
"150250 Chaves";1;-;-;-;-;-;-;-;-;-;-;-;1
"150260 Colares";-;-;-;-;-;-;-;-;1;-;1;1;3
"150270 Conceição do Araguaia";1;2;-;-;-;2;-;2;3;4;-;1;15
"150275 Concórdia do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150276 Cumaru do Norte";3;-;1;-;-;1;2;1;6;3;2;1;20
"150277 Curionópolis";-;1;2;-;1;1;1;1;2;-;-;-;9
"150280 Curralinho";-;2;1;-;-;-;1;-;-;1;1;-;6
"150285 Curuá";-;-;-;-;1;-;-;-;-;1;-;1;3
"150290 Curuçá";-;-;-;-;-;-;1;-;-;-;-;-;1
"150293 Dom Eliseu";13;7;15;5;7;1;10;5;19;11;7;6;106
"150295 Eldorado do Carajás";3;7;7;1;-;4;3;2;5;5;4;4;45
"150300 Faro";-;-;-;-;-;-;2;1;-;1;-;-;4
"150304 Floresta do Araguaia";1;-;2;-;-;-;2;1;3;1;1;-;11
"150307 Garrafão do Norte";6;1;1;1;-;1;-;1;-;-;-;-;11
"150309 Goianésia do Pará";2;7;10;3;10;7;1;4;9;11;13;6;83
"150310 Gurupá";1;-;-;2;2;-;-;-;-;-;-;1;6
"150320 Igarapé-Açu";3;-;1;-;-;-;-;-;-;-;-;-;4
"150330 Igarapé-Miri";1;-;-;-;-;-;-;-;-;-;-;-;1
"150345 Ipixuna do Pará";1;3;6;5;3;2;5;3;1;6;4;7;46
"150350 Irituia";-;-;1;-;-;1;-;1;-;-;-;1;4
"150360 Itaituba";6;12;11;9;4;10;10;3;7;5;9;9;95
"150370 Itupiranga";1;-;1;-;-;-;-;1;1;-;-;2;6
"150375 Jacareacanga";1;3;1;4;2;1;2;5;1;-;-;1;21
"150380 Jacundá";3;1;3;-;3;-;2;-;2;-;3;2;19
"150390 Juruti";5;2;4;2;4;3;8;5;3;-;-;2;38
"150400 Limoeiro do Ajuru";-;-;-;1;-;-;-;-;-;-;-;-;1
"150405 Mãe do Rio";-;-;-;-;-;-;-;-;-;-;2;1;3
"150410 Magalhães Barata";-;-;-;-;-;-;-;-;1;-;-;-;1
"150420 Marabá";6;6;8;5;5;10;8;10;10;9;8;12;97
"150442 Marituba";-;-;-;1;1;-;-;-;-;-;-;-;2
"150445 Medicilândia";43;34;47;17;15;11;20;2;9;16;31;6;251
"150450 Melgaço";-;-;-;-;-;-;-;1;1;2;-;-;4
"150460 Mocajuba";1;3;6;5;3;1;2;5;3;3;3;-;35
"150470 Moju";23;23;13;15;6;4;2;4;8;7;5;6;116
"150480 Monte Alegre";3;8;12;8;10;3;3;3;3;9;20;18;100
"150490 Muaná";-;-;-;-;-;-;-;-;-;-;1;2;3
"150495 Nova Esperança do Piriá";4;-;1;1;2;-;2;-;1;3;4;8;26
"150497 Nova Ipixuna";1;-;-;1;1;-;1;-;-;-;1;-;5
"150503 Novo Progresso";6;-;1;2;5;2;9;6;11;13;10;7;72
"150506 Novo Repartimento";7;11;5;2;3;3;5;14;8;9;4;2;73
"150510 Óbidos";10;5;5;8;3;2;2;6;13;5;8;11;78
"150520 Oeiras do Pará";-;-;1;2;4;-;1;1;-;-;1;-;10
"150530 Oriximiná";12;21;20;31;20;6;6;7;-;4;4;8;139
"150540 Ourém";-;-;-;1;-;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";-;2;1;1;1;-;-;-;-;-;-;1;6
"150548 Pacajá";8;2;8;4;7;6;4;8;11;20;12;12;102
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150550 Paragominas";17;7;9;22;15;11;11;24;14;21;22;13;186
"150553 Parauapebas";1;3;-;4;5;11;7;5;6;7;5;4;58
"150555 Pau D'Arco";1;-;-;2;-;1;1;-;-;-;1;-;6
"150563 Piçarra";-;1;-;1;4;-;1;-;-;-;1;-;8
"150565 Placas";6;2;3;2;3;1;7;4;2;2;3;8;43
"150570 Ponta de Pedras";-;1;-;-;-;-;-;-;-;-;-;-;1
"150580 Portel";2;5;6;14;12;4;5;4;3;5;10;7;77
"150590 Porto de Moz";-;-;-;4;6;1;1;1;2;1;2;1;19
"150600 Prainha";4;10;6;4;5;6;1;4;5;7;14;10;76
"150610 Primavera";-;1;-;-;-;-;-;-;-;-;-;-;1
"150613 Redenção";1;1;1;1;3;2;1;1;1;2;-;-;14
"150616 Rio Maria";1;-;-;-;-;2;4;1;-;8;-;1;17
"150618 Rondon do Pará";8;6;14;15;9;6;17;14;11;19;13;7;139
"150619 Rurópolis";3;5;3;5;4;1;-;6;3;5;6;4;45
"150620 Salinópolis";-;-;-;1;-;-;1;-;-;-;-;1;3
"150630 Salvaterra";1;1;-;1;-;-;-;-;-;-;-;-;3
"150635 Santa Bárbara do Pará";-;1;-;-;-;-;-;-;-;-;-;-;1
"150650 Santa Izabel do Pará";-;-;-;-;1;-;-;-;-;-;-;-;1
"150655 Santa Luzia do Pará";-;1;-;-;-;3;-;1;-;-;-;2;7
"150658 Santa Maria das Barreiras";-;1;-;1;6;4;5;3;2;-;-;2;24
"150660 Santa Maria do Pará";1;-;-;1;-;-;-;-;-;-;-;-;2
"150670 Santana do Araguaia";2;4;2;2;8;2;3;7;7;8;5;3;53
"150680 Santarém";14;3;7;7;11;13;8;11;15;12;16;10;127
"150690 Santarém Novo";-;-;1;-;-;-;-;-;1;-;-;-;2
"150700 Santo Antônio do Tauá";-;-;-;-;-;-;-;-;1;-;-;-;1
"150715 São Domingos do Araguaia";-;-;1;1;-;5;2;1;-;2;2;-;14
"150720 São Domingos do Capim";-;-;-;-;-;-;2;-;-;-;-;1;3
"150730 São Félix do Xingu";5;3;4;2;2;1;6;11;9;10;4;4;61
"150740 São Francisco do Pará";-;-;-;-;1;-;1;-;-;-;-;-;2
"150745 São Geraldo do Araguaia";-;-;3;2;-;1;1;3;1;1;2;-;14
"150750 São João do Araguaia";-;-;1;-;-;1;-;2;1;-;-;-;5
"150760 São Miguel do Guamá";-;-;-;1;-;-;-;-;-;-;-;-;1
"150770 São Sebastião da Boa Vista";-;-;-;2;-;1;-;-;-;-;1;-;4
"150780 Senador José Porfírio";3;2;2;4;5;3;7;5;1;1;-;-;33
"150795 Tailândia";24;21;19;21;10;6;8;11;7;18;8;6;159
"150797 Terra Santa";1;-;-;3;2;2;2;2;1;2;1;-;16
"150800 Tomé-Açu";27;17;15;32;24;9;10;5;7;1;4;5;156
"150803 Tracuateua";-;-;-;-;-;1;-;1;-;-;-;-;2
"150805 Trairão";2;2;1;9;5;9;4;2;4;6;7;3;54
"150808 Tucumã";1;-;3;2;-;-;-;1;1;2;-;1;11
"150810 Tucuruí";1;1;7;2;4;1;5;1;-;3;-;1;26
"150812 Ulianópolis";5;1;8;11;4;8;11;14;15;13;8;2;100
"150815 Uruará";6;10;10;6;19;13;8;19;9;17;20;7;144
"150830 Viseu";1;-;2;4;2;1;-;2;-;-;-;2;14
"150835 Vitória do Xingu";-;-;-;-;-;-;-;1;2;2;2;-;7
"150840 Xinguara";1;-;3;1;-;-;2;3;2;-;4;7;23
"150000 Município ignorado - PA";-;1;-;-;-;-;-;-;-;-;-;-;1
"160010 Amapá";2;-;2;1;-;-;-;-;-;-;-;2;7
"160020 Calçoene";4;9;6;3;-;1;-;-;1;1;4;3;32
"160021 Cutias";-;-;-;-;1;-;-;-;-;-;-;-;1
"160023 Ferreira Gomes";1;1;-;1;-;-;-;-;-;-;-;1;4
"160025 Itaubal";1;-;-;-;-;-;-;-;-;-;1;1;3
"160027 Laranjal do Jari";12;6;7;16;6;13;15;6;6;5;9;8;109
"160030 Macapá";1;2;1;1;3;2;1;-;2;2;2;1;18
"160040 Mazagão";1;1;-;7;6;4;5;2;1;6;2;4;39
"160050 Oiapoque";2;8;13;6;6;7;1;3;3;2;1;3;55
"160015 Pedra Branca do Amapari";7;3;8;9;4;1;1;1;-;-;-;1;35
"160053 Porto Grande";13;17;17;37;21;9;4;6;6;5;4;8;147
"160055 Pracuúba";-;-;1;-;-;1;-;-;-;-;-;1;3
"160060 Santana";-;1;-;-;-;-;-;-;-;-;2;1;4
"160005 Serra do Navio";4;2;9;8;3;1;-;-;-;-;1;3;31
"160070 Tartarugalzinho";-;1;3;3;4;6;6;2;2;2;1;4;34
"160080 Vitória do Jari";1;1;-;1;1;-;-;-;1;1;1;2;9
"170025 Abreulândia";-;-;-;-;1;-;-;1;-;1;-;1;4
"170030 Aguiarnópolis";-;1;-;-;-;-;1;-;-;-;1;2;5
"170040 Almas";2;-;1;-;-;-;-;1;-;-;-;1;5
"170100 Ananás";-;3;-;1;-;1;1;1;1;2;-;1;11
"170105 Angico";1;-;-;-;-;-;-;-;-;-;-;-;1
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-;-;-;1;-;1;2
"170130 Aragominas";-;-;-;-;-;-;-;1;2;-;-;-;3
"170190 Araguacema";-;2;-;-;-;1;-;1;1;-;-;-;5
"170200 Araguaçu";1;-;-;-;-;1;2;3;-;-;1;-;8
"170210 Araguaína";-;1;-;2;2;2;3;1;1;-;1;2;15
"170215 Araguanã";-;-;-;-;-;-;-;-;-;-;1;-;1
"170220 Araguatins";2;1;1;-;-;1;-;-;1;-;1;1;8
"170230 Arapoema";-;-;-;-;-;-;-;1;-;-;-;-;1
"170255 Augustinópolis";-;-;-;1;2;-;-;-;1;1;-;-;5
"170270 Aurora do Tocantins";1;2;4;-;-;1;-;-;-;-;-;-;8
"170290 Axixá do Tocantins";1;-;-;-;-;-;-;-;1;-;-;-;2
"170300 Babaçulândia";-;-;-;-;-;-;-;1;-;2;-;-;3
"170305 Bandeirantes do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;-;-;-;1;-;-;-;-;-;1;2
"170310 Barrolândia";-;1;-;-;-;-;-;-;-;-;-;1;2
"170360 Brasilândia do Tocantins";-;-;1;1;-;-;-;-;-;-;-;-;2
"170370 Brejinho de Nazaré";-;-;-;-;-;-;-;-;-;1;-;-;1
"170384 Campos Lindos";-;-;-;-;-;-;-;-;-;-;-;1;1
"170386 Cariri do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"170388 Carmolândia";-;-;-;-;-;-;-;-;-;1;-;-;1
"170389 Carrasco Bonito";-;-;1;-;-;-;-;-;-;-;-;-;1
"170390 Caseara";-;-;1;-;-;-;-;-;-;-;-;-;1
"170410 Centenário";1;-;-;-;1;1;2;2;3;-;-;-;10
"170550 Colinas do Tocantins";1;-;1;-;-;-;-;-;-;-;-;-;2
"171670 Colméia";-;-;-;-;-;1;-;-;-;-;-;-;1
"170600 Couto Magalhães";-;-;-;-;-;3;-;4;-;-;-;-;7
"170610 Cristalândia";-;1;-;-;-;1;-;1;2;1;-;-;6
"170650 Darcinópolis";-;-;1;-;-;-;-;-;-;1;1;1;4
"170700 Dianópolis";2;-;1;1;1;-;-;4;1;1;1;1;13
"170710 Divinópolis do Tocantins";-;2;-;-;-;-;2;1;-;-;1;-;6
"170720 Dois Irmãos do Tocantins";-;1;-;1;-;-;-;-;-;-;-;1;3
"170730 Dueré";-;-;-;-;-;-;-;1;-;-;-;1;2
"170755 Fátima";-;-;-;-;-;-;-;-;-;1;-;-;1
"170770 Filadélfia";-;-;-;1;-;-;-;-;-;-;1;-;2
"170820 Formoso do Araguaia";1;-;-;-;1;-;1;-;2;-;1;1;7
"170825 Fortaleza do Tabocão";-;-;-;-;-;1;-;-;1;1;-;-;3
"170900 Goiatins";-;-;-;-;-;1;-;-;1;-;-;-;2
"170930 Guaraí";1;-;-;1;2;1;3;5;2;1;2;1;19
"170950 Gurupi";1;-;-;-;-;-;-;1;1;-;-;1;4
"170980 Ipueiras";1;-;-;-;-;-;-;-;-;-;-;1;2
"171050 Itacajá";-;1;-;1;-;1;2;-;-;2;1;1;9
"171090 Itapiratins";-;-;-;-;-;-;1;1;-;-;-;-;2
"171110 Itaporã do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"171150 Jaú do Tocantins";-;1;1;-;-;-;-;-;1;-;-;-;3
"171190 Lagoa da Confusão";1;1;-;-;-;1;1;1;-;-;-;-;5
"171195 Lagoa do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"171215 Lavandeira";-;-;-;-;-;-;-;-;1;-;-;-;1
"171240 Lizarda";-;-;-;-;-;-;-;-;-;-;-;1;1
"171245 Luzinópolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"171250 Marianópolis do Tocantins";-;3;-;-;2;-;-;2;-;-;1;-;8
"171270 Mateiros";-;-;-;-;-;1;-;-;-;-;-;-;1
"171280 Maurilândia do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"171320 Miracema do Tocantins";1;1;-;-;-;-;2;-;1;-;-;2;7
"171330 Miranorte";1;-;-;-;-;1;-;-;-;-;-;-;2
"171360 Monte do Carmo";1;1;-;1;1;-;1;1;2;2;1;3;14
"171395 Muricilândia";-;-;-;-;-;-;-;-;1;-;-;-;1
"171430 Nazaré";-;-;-;-;-;-;-;1;1;3;2;-;7
"171488 Nova Olinda";-;-;-;-;-;-;-;2;1;-;-;-;3
"171500 Nova Rosalândia";-;-;-;-;1;-;1;-;1;-;-;-;3
"171515 Novo Alegre";-;1;-;1;-;-;-;-;1;-;-;-;3
"171525 Novo Jardim";1;-;-;-;-;-;-;2;-;-;-;-;3
"172100 Palmas";4;4;-;1;1;2;3;1;4;1;1;4;26
"171570 Palmeirante";-;-;-;1;-;-;-;1;-;-;-;-;2
"171575 Palmeirópolis";-;1;-;-;-;-;-;-;-;1;-;2;4
"171610 Paraíso do Tocantins";1;1;1;1;-;1;-;-;1;2;-;-;8
"171620 Paranã";-;-;-;-;-;1;-;-;-;-;-;1;2
"171630 Pau D'Arco";-;-;-;-;-;-;-;1;1;-;-;-;2
"171650 Pedro Afonso";-;-;-;-;1;1;1;1;1;-;1;-;6
"171660 Peixe";-;-;-;-;-;1;-;-;-;1;-;-;2
"171665 Pequizeiro";-;-;-;-;-;-;-;1;-;-;1;-;2
"171700 Pindorama do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"171720 Piraquê";1;-;-;-;-;-;1;-;-;-;1;1;4
"171750 Pium";-;2;-;-;1;-;1;-;-;-;-;-;4
"171790 Ponte Alta do Tocantins";1;1;2;-;1;-;2;2;1;1;-;-;11
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-;-;2;-;-;-;-;2
