LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2008
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";2;1;2;1;2;2;5;4;2;5;2;1;29
"110037 Alto Alegre dos Parecis";-;-;2;2;1;1;-;-;3;-;-;-;9
"110040 Alto Paraíso";4;-;-;-;1;2;2;-;2;1;2;-;14
"110034 Alvorada D'Oeste";1;3;-;2;2;1;1;2;1;-;2;2;17
"110002 Ariquemes";4;6;-;1;4;1;5;2;7;7;3;7;47
"110045 Buritis";2;5;3;4;5;8;6;2;1;7;9;1;53
"110003 Cabixi";-;-;-;1;1;2;1;-;-;-;-;-;5
"110060 Cacaulândia";2;3;1;-;-;1;-;-;-;-;2;-;9
"110004 Cacoal";9;4;1;1;4;3;8;5;8;3;2;2;50
"110070 Campo Novo de Rondônia";1;4;2;2;3;1;1;3;2;2;-;-;21
"110080 Candeias do Jamari";-;-;1;-;-;2;-;2;2;-;-;-;7
"110090 Castanheiras";-;-;-;-;-;-;-;-;-;1;-;-;1
"110005 Cerejeiras";1;2;-;-;-;-;-;-;-;1;-;-;4
"110092 Chupinguaia";2;-;1;-;1;2;1;-;5;1;-;2;15
"110006 Colorado do Oeste";-;-;-;-;2;-;2;1;-;-;-;-;5
"110007 Corumbiara";-;1;-;-;-;-;2;1;1;3;-;-;8
"110008 Costa Marques";-;-;-;5;2;6;9;3;6;2;1;-;34
"110094 Cujubim";3;2;2;2;3;1;5;4;1;5;-;-;28
"110009 Espigão D'Oeste";3;3;3;2;2;1;2;4;9;10;7;1;47
"110100 Governador Jorge Teixeira";-;-;-;-;1;-;-;2;2;1;-;-;6
"110010 Guajará-Mirim";1;1;1;3;4;1;2;1;-;1;1;-;16
"110110 Itapuã do Oeste";-;-;1;-;-;-;1;-;-;-;-;-;2
"110011 Jaru";2;-;-;2;1;2;2;-;2;1;4;2;18
"110012 Ji-Paraná";3;1;1;3;1;2;-;3;2;3;3;1;23
"110013 Machadinho D'Oeste";1;4;4;2;2;6;4;7;2;2;-;-;34
"110120 Ministro Andreazza";1;1;-;-;-;-;-;-;-;1;1;-;4
"110130 Mirante da Serra";-;1;-;-;1;-;-;1;3;2;6;1;15
"110140 Monte Negro";1;8;6;3;2;1;2;2;3;3;3;1;35
"110014 Nova Brasilândia D'Oeste";2;-;1;-;-;-;-;1;-;1;-;1;6
"110033 Nova Mamoré";1;-;1;1;-;2;3;1;-;-;-;-;9
"110143 Nova União";2;-;-;-;1;-;-;-;-;-;-;3;6
"110050 Novo Horizonte do Oeste";2;-;-;-;-;-;-;1;1;2;1;2;9
"110015 Ouro Preto do Oeste";-;-;-;-;1;2;-;-;1;2;2;-;8
"110145 Parecis";-;1;-;-;1;4;-;1;1;1;2;1;12
"110018 Pimenta Bueno";2;1;2;-;5;3;4;7;2;4;1;-;31
