LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2012
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;-;-;3;1;2;2;3;4;4;1;2;23
"110037 Alto Alegre dos Parecis";-;-;-;1;1;1;5;4;1;2;-;-;15
"110040 Alto Paraíso";-;-;-;-;-;1;3;1;-;-;-;-;5
"110034 Alvorada D'Oeste";-;-;-;-;-;-;2;-;1;2;1;-;6
"110002 Ariquemes";3;1;1;3;-;7;3;7;2;2;3;3;35
"110045 Buritis";3;3;2;1;3;2;4;4;3;6;4;3;38
"110003 Cabixi";-;1;1;3;-;2;-;1;1;1;1;1;12
"110060 Cacaulândia";-;-;1;-;-;-;-;2;-;1;1;-;5
"110004 Cacoal";1;1;6;2;2;1;3;7;3;5;2;2;35
"110070 Campo Novo de Rondônia";1;1;1;1;1;1;1;3;1;4;2;-;17
"110080 Candeias do Jamari";2;1;1;1;-;1;3;3;3;2;4;2;23
"110090 Castanheiras";-;-;-;1;-;2;-;1;-;-;-;-;4
"110005 Cerejeiras";-;-;2;-;1;-;-;-;-;-;1;2;6
"110092 Chupinguaia";-;1;3;2;3;8;6;16;2;1;2;-;44
"110006 Colorado do Oeste";-;1;-;-;1;-;-;-;-;1;1;-;4
"110007 Corumbiara";-;-;-;1;1;-;-;3;2;2;2;1;12
"110008 Costa Marques";2;-;2;2;7;5;3;2;3;1;3;-;30
"110094 Cujubim";5;4;2;1;3;5;7;6;2;5;4;6;50
"110009 Espigão D'Oeste";2;2;2;2;6;6;15;5;9;13;7;4;73
"110100 Governador Jorge Teixeira";-;-;-;2;2;2;-;1;-;1;2;-;10
"110010 Guajará-Mirim";3;-;-;1;3;1;4;3;4;6;4;-;29
"110110 Itapuã do Oeste";-;-;-;-;1;1;-;1;-;-;-;-;3
"110011 Jaru";-;-;1;1;2;1;2;-;2;2;1;-;12
"110012 Ji-Paraná";-;2;2;-;1;2;-;2;4;1;-;1;15
"110013 Machadinho D'Oeste";-;2;2;2;4;-;3;1;12;1;-;1;28
