LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2016
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110032 São Miguel do Guaporé";2;1;1;1;-;-;2;3;1;1;2;4;18
"110150 Seringueiras";-;-;-;1;1;1;-;-;1;-;-;3;7
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;-;-;-;-;-
"110160 Theobroma";-;-;-;-;1;-;1;-;-;2;-;-;4
"110170 Urupá";-;1;-;-;-;-;-;-;-;-;-;-;1
"110175 Vale do Anari";-;-;-;-;-;-;-;1;-;1;-;-;2
"110180 Vale do Paraíso";-;2;-;-;2;1;1;-;-;-;1;-;7
"110030 Vilhena";3;3;1;1;1;3;7;9;4;5;3;3;43
"110000 Município ignorado - RO";-;-;-;-;-;1;-;-;-;-;-;-;1
"120001 Acrelândia";1;-;1;-;7;2;2;-;2;-;-;-;15
"120005 Assis Brasil";13;3;11;12;9;7;4;10;11;13;13;4;110
"120010 Brasiléia";2;5;1;5;1;1;10;3;9;7;7;6;57
"120013 Bujari";2;4;-;-;3;1;3;3;3;4;2;1;26
"120017 Capixaba";2;2;1;4;8;5;5;8;3;5;6;4;53
"120020 Cruzeiro do Sul";5;1;3;4;9;7;2;5;4;2;6;4;52
"120025 Epitaciolândia";1;3;2;-;2;1;-;3;2;4;4;1;23
"120030 Feijó";4;5;3;3;5;7;3;1;3;3;6;8;51
"120032 Jordão";-;1;-;2;-;2;2;2;3;1;1;-;14
"120033 Mâncio Lima";3;2;1;3;-;2;6;2;3;3;2;3;30
"120034 Manoel Urbano";2;1;6;2;3;3;1;3;4;4;5;1;35
"120035 Marechal Thaumaturgo";3;2;7;3;7;5;-;4;3;1;1;3;39
"120038 Plácido de Castro";-;-;1;1;-;1;1;2;-;-;-;-;6
"120080 Porto Acre";1;2;1;3;-;-;1;2;1;1;3;1;16
"120039 Porto Walter";-;-;1;1;-;1;-;-;3;3;3;-;12
"120040 Rio Branco";7;6;5;5;7;9;4;7;13;19;11;5;98
"120042 Rodrigues Alves";1;1;2;-;3;3;-;1;2;-;1;-;14
"120043 Santa Rosa do Purus";1;1;2;2;3;2;2;4;2;3;1;2;25
"120050 Sena Madureira";8;2;13;6;8;11;9;7;8;19;8;10;109
"120045 Senador Guiomard";-;-;-;2;-;2;-;1;-;1;-;-;6
"120060 Tarauacá";-;1;1;3;2;2;-;3;1;1;3;1;18
"120070 Xapuri";3;6;3;7;6;3;7;8;12;3;10;4;72
"120000 Município ignorado - AC";-;-;-;-;-;-;-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;-;-;-;-;-;-;-;-;-;-
"130006 Amaturá";-;-;-;2;-;-;-;-;-;-;-;-;2
"130008 Anamã";-;-;-;-;-;-;-;-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-;-;-;-;-;-;-;-
"130014 Apuí";1;2;2;-;1;-;2;4;-;1;-;-;13
"130020 Atalaia do Norte";-;1;2;1;1;1;-;2;4;1;1;-;14
"130030 Autazes";-;-;-;-;-;-;-;-;1;-;1;2;4
"130040 Barcelos";-;1;1;-;2;1;1;1;-;-;-;-;7
"130050 Barreirinha";1;-;-;-;-;-;-;-;-;4;-;-;5
"130060 Benjamin Constant";-;-;-;-;-;-;-;1;-;-;-;-;1
"130063 Beruri";-;-;-;-;-;-;-;-;-;-;-;-;-
"130068 Boa Vista do Ramos";1;-;-;-;-;-;-;-;-;-;-;1;2
"130070 Boca do Acre";-;3;2;2;6;8;6;8;6;1;1;4;47
"130080 Borba";2;1;1;-;1;-;1;2;2;-;-;-;10
"130083 Caapiranga";-;-;-;-;-;1;1;-;-;1;2;1;6
"130090 Canutama";1;-;-;-;1;-;2;-;1;-;-;-;5
"130100 Carauari";-;2;1;1;-;1;-;1;2;-;-;-;8
"130110 Careiro";1;1;-;-;-;-;-;-;-;1;-;-;3
"130115 Careiro da Várzea";-;-;-;-;-;-;-;-;-;-;-;-;-
"130120 Coari";-;-;-;-;-;1;-;-;-;1;-;-;2
"130130 Codajás";-;-;-;-;-;-;-;-;-;-;-;-;-
"130140 Eirunepé";3;3;2;3;2;1;4;4;2;2;3;-;29
"130150 Envira";5;2;3;2;-;3;-;1;4;-;3;1;24
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;-;-;-;-
"130165 Guajará";1;-;1;-;1;1;2;1;1;1;-;1;10
"130170 Humaitá";-;-;-;3;11;2;2;3;2;-;2;1;26
"130180 Ipixuna";1;-;1;1;2;3;4;1;1;2;1;1;18
"130185 Iranduba";-;-;-;-;-;-;-;-;1;-;-;-;1
"130190 Itacoatiara";6;2;-;-;-;3;1;-;-;1;7;10;30
"130195 Itamarati";-;-;-;-;-;-;-;-;-;-;-;-;-
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;-;-;2;2
"130210 Japurá";1;1;-;-;-;-;-;-;-;-;-;-;2
"130220 Juruá";-;-;-;-;-;1;-;-;-;-;-;-;1
"130230 Jutaí";-;-;-;-;-;-;-;-;-;-;-;-;-
"130240 Lábrea";1;1;2;-;3;5;6;6;6;3;-;2;35
"130250 Manacapuru";1;-;-;1;-;-;-;2;1;2;3;4;14
"130255 Manaquiri";-;-;-;-;-;-;-;1;-;-;-;-;1
"130260 Manaus";45;29;16;17;4;5;2;8;2;7;14;16;165
"130270 Manicoré";3;2;1;1;1;2;-;2;2;-;-;-;14
"130280 Maraã";-;-;-;-;-;-;-;-;-;-;-;-;-
"130290 Maués";2;5;2;3;2;-;2;-;1;-;4;4;25
"130300 Nhamundá";-;1;2;2;2;1;3;-;2;1;1;-;15
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-
"130320 Novo Airão";-;-;-;1;-;-;-;1;-;2;3;1;8
"130330 Novo Aripuanã";-;-;1;4;1;1;-;-;-;1;1;1;10
"130340 Parintins";1;-;-;-;-;-;-;-;4;-;-;-;5
"130350 Pauini";-;1;1;-;1;4;1;-;3;2;1;-;14
"130353 Presidente Figueiredo";12;10;13;6;8;4;1;2;3;18;38;39;154
"130356 Rio Preto da Eva";11;13;5;8;3;5;5;4;1;5;18;34;112
"130360 Santa Isabel do Rio Negro";-;-;1;4;-;-;1;1;-;-;-;-;7
"130370 Santo Antônio do Içá";1;-;1;-;-;-;-;-;-;-;-;-;2
"130380 São Gabriel da Cachoeira";-;-;1;1;-;1;-;-;-;-;-;-;3
"130390 São Paulo de Olivença";-;-;-;-;2;2;1;-;-;-;-;-;5
"130395 São Sebastião do Uatumã";-;-;-;-;-;1;-;-;-;1;-;-;2
"130400 Silves";1;-;-;-;-;-;-;-;-;-;-;2;3
"130406 Tabatinga";1;-;-;-;-;-;-;-;-;-;-;-;1
"130410 Tapauá";-;-;-;-;-;1;-;-;-;-;-;-;1
"130420 Tefé";-;-;1;-;-;-;-;-;-;-;-;1;2
"130423 Tonantins";-;-;1;1;-;2;-;-;-;-;-;-;4
"130426 Uarini";1;-;2;-;-;-;-;-;-;-;-;-;3
"130430 Urucará";1;-;-;-;-;1;-;-;-;-;-;-;2
"130440 Urucurituba";-;-;-;-;-;-;-;-;-;-;-;-;-
"130000 Município ignorado - AM";1;-;-;-;-;-;-;-;-;-;-;1;2
"140005 Alto Alegre";1;2;1;1;1;-;2;1;1;3;-;1;14
"140002 Amajari";2;1;1;-;-;1;-;-;-;-;-;-;5
"140010 Boa Vista";1;1;1;1;5;-;-;2;1;-;-;-;12
"140015 Bonfim";-;-;1;-;-;-;-;-;-;-;-;-;1
"140017 Cantá";-;-;-;-;-;-;3;4;-;-;-;-;7
"140020 Caracaraí";-;-;-;1;-;-;-;-;-;-;1;-;2
"140023 Caroebe";-;3;1;4;3;1;-;1;1;1;2;-;17
"140028 Iracema";1;-;-;-;-;-;-;-;-;-;-;1;2
"140030 Mucajaí";-;1;-;-;-;-;-;-;-;-;-;-;1
"140040 Normandia";-;-;-;-;-;-;-;-;-;-;-;-;-
"140045 Pacaraima";2;1;1;1;3;-;2;2;1;-;1;1;15
"140047 Rorainópolis";-;4;4;-;-;5;-;-;-;-;-;-;13
"140050 São João da Baliza";1;-;1;1;-;-;-;-;1;-;-;-;4
"140060 São Luiz";-;-;-;-;-;-;-;-;-;-;-;-;-
"140070 Uiramutã";1;-;-;1;-;-;-;-;-;-;2;-;4
"140000 Município ignorado - RR";-;-;-;-;-;-;-;-;-;-;-;-;-
"150010 Abaetetuba";-;1;-;-;-;-;1;-;-;-;-;-;2
"150013 Abel Figueiredo";-;1;-;-;-;1;-;-;-;1;-;-;3
"150020 Acará";-;-;-;-;-;1;3;1;-;-;-;-;5
"150030 Afuá";-;1;1;-;-;-;-;1;-;-;-;-;3
"150034 Água Azul do Norte";1;1;2;1;1;-;-;1;1;1;2;-;11
"150040 Alenquer";3;6;2;2;2;1;2;4;2;3;2;2;31
"150050 Almeirim";8;2;-;6;6;6;4;3;7;5;8;2;57
"150060 Altamira";8;10;3;3;1;1;2;4;5;4;3;6;50
"150070 Anajás";-;-;-;1;1;-;-;1;-;-;-;-;3
"150080 Ananindeua";-;-;-;-;-;-;-;-;-;-;-;1;1
"150085 Anapu";4;6;3;-;-;3;2;4;1;2;1;4;30
"150090 Augusto Corrêa";-;-;-;-;-;-;-;1;-;-;-;-;1
"150095 Aurora do Pará";-;-;-;-;-;-;-;-;-;1;-;-;1
"150100 Aveiro";-;1;-;1;-;-;1;-;-;-;-;-;3
"150110 Bagre";2;2;1;7;1;3;-;-;3;1;-;-;20
"150120 Baião";2;1;-;-;1;-;-;-;1;5;-;1;11
"150125 Bannach";-;-;-;-;-;-;-;2;1;3;-;-;6
"150130 Barcarena";2;-;-;-;-;-;-;-;-;-;-;-;2
"150140 Belém";2;1;-;-;-;-;-;-;-;1;-;-;4
"150145 Belterra";1;2;-;-;1;2;1;-;-;1;-;1;9
"150150 Benevides";-;-;-;-;-;-;-;-;-;-;-;-;-
"150157 Bom Jesus do Tocantins";-;1;1;-;2;-;-;1;-;3;-;-;8
"150160 Bonito";-;-;1;-;1;-;1;-;-;-;-;-;3
"150170 Bragança";2;1;-;4;2;1;-;2;-;1;-;1;14
"150172 Brasil Novo";6;-;2;-;2;3;4;3;1;4;3;2;30
"150175 Brejo Grande do Araguaia";-;-;-;-;-;1;-;-;-;-;-;-;1
"150178 Breu Branco";1;2;2;-;1;2;-;1;3;4;2;5;23
"150180 Breves";1;-;-;-;-;-;-;-;-;-;-;1;2
"150190 Bujaru";-;-;-;-;-;-;-;-;-;-;-;-;-
"150200 Cachoeira do Arari";-;-;-;-;-;-;-;1;1;-;-;-;2
"150195 Cachoeira do Piriá";1;-;1;3;1;-;-;1;-;1;-;3;11
"150210 Cametá";1;1;-;1;-;-;-;-;-;-;-;-;3
"150215 Canaã dos Carajás";1;2;-;-;-;1;-;1;-;1;1;-;7
"150220 Capanema";-;-;-;-;-;-;-;-;-;-;-;-;-
"150230 Capitão Poço";1;-;-;-;-;-;-;-;-;-;-;-;1
"150240 Castanhal";-;-;-;-;-;-;-;-;-;-;1;-;1
"150250 Chaves";1;-;-;-;-;-;-;-;-;-;-;-;1
"150260 Colares";-;-;1;-;1;-;-;-;-;-;-;-;2
"150270 Conceição do Araguaia";1;-;-;-;-;-;-;-;1;1;3;-;6
"150275 Concórdia do Pará";1;1;-;-;-;-;-;-;-;-;-;-;2
"150276 Cumaru do Norte";1;-;-;-;-;-;1;1;3;-;1;-;7
"150277 Curionópolis";1;-;2;2;-;-;2;-;-;2;-;-;9
"150280 Curralinho";-;-;-;-;1;-;-;1;1;-;-;-;3
"150285 Curuá";-;-;-;-;-;-;-;-;-;-;-;-;-
"150290 Curuçá";-;-;-;-;-;-;-;-;-;-;-;-;-
"150293 Dom Eliseu";-;1;1;-;1;-;-;2;3;1;4;-;13
"150295 Eldorado do Carajás";1;-;-;-;2;-;-;1;-;1;2;1;8
"150300 Faro";-;-;1;1;-;-;-;-;-;-;-;-;2
"150304 Floresta do Araguaia";-;-;-;-;-;-;-;-;-;-;-;-;-
"150307 Garrafão do Norte";1;1;-;-;-;-;-;-;-;1;3;1;7
"150309 Goianésia do Pará";7;-;-;-;-;1;3;5;2;1;2;1;22
"150310 Gurupá";-;-;-;-;2;-;-;-;-;-;1;-;3
"150320 Igarapé-Açu";1;-;-;2;1;-;-;1;-;-;-;-;5
"150330 Igarapé-Miri";1;1;-;1;1;2;-;1;1;2;-;-;10
"150340 Inhangapi";-;-;-;-;-;-;-;-;-;-;-;-;-
"150345 Ipixuna do Pará";2;-;1;-;-;-;-;1;-;-;1;1;6
"150350 Irituia";-;-;-;-;-;-;-;-;-;-;-;1;1
"150360 Itaituba";11;11;18;13;8;13;11;5;10;3;7;9;119
"150370 Itupiranga";7;2;1;2;1;-;1;1;1;-;-;2;18
"150375 Jacareacanga";-;-;-;-;-;2;2;1;1;2;1;-;9
"150380 Jacundá";1;7;-;-;2;-;1;1;-;1;1;1;15
"150390 Juruti";4;1;-;1;2;-;-;2;1;-;1;1;13
"150400 Limoeiro do Ajuru";-;-;-;-;-;1;-;-;-;-;-;-;1
"150405 Mãe do Rio";-;-;-;-;-;-;-;-;-;-;-;-;-
"150410 Magalhães Barata";-;-;-;-;-;1;1;-;-;-;-;-;2
"150420 Marabá";11;5;2;1;5;3;-;5;1;4;8;8;53
"150430 Maracanã";-;-;-;-;-;-;-;-;-;-;-;-;-
"150440 Marapanim";-;-;-;-;-;-;-;-;-;-;-;-;-
"150442 Marituba";-;-;-;-;-;-;-;-;-;-;-;-;-
"150445 Medicilândia";12;10;4;11;4;2;1;1;6;7;4;8;70
"150450 Melgaço";-;-;-;-;-;-;-;-;-;-;-;-;-
"150460 Mocajuba";-;1;-;-;1;-;-;-;-;-;-;-;2
"150470 Moju";3;2;2;2;1;1;-;1;-;1;1;-;14
"150475 Mojuí dos Campos";3;5;-;1;2;-;-;1;3;1;1;-;17
"150480 Monte Alegre";4;7;1;1;1;1;1;-;1;1;8;16;42
"150490 Muaná";1;-;-;-;-;-;-;-;-;-;-;-;1
"150495 Nova Esperança do Piriá";1;1;2;-;-;-;-;1;-;-;-;2;7
"150497 Nova Ipixuna";2;-;1;-;-;-;-;-;-;1;-;-;4
"150500 Nova Timboteua";-;-;-;-;-;-;-;-;-;-;-;-;-
"150503 Novo Progresso";6;2;1;1;2;3;2;6;2;3;1;2;31
"150506 Novo Repartimento";8;5;1;5;4;2;1;4;10;5;4;9;58
"150510 Óbidos";1;3;4;1;1;4;-;-;4;4;2;7;31
"150520 Oeiras do Pará";2;-;1;-;1;-;-;1;1;2;2;-;10
"150530 Oriximiná";4;3;3;1;1;4;1;7;1;-;6;15;46
"150540 Ourém";-;-;-;-;-;-;-;-;-;-;-;-;-
"150543 Ourilândia do Norte";2;2;1;3;1;1;4;5;1;4;-;1;25
"150548 Pacajá";8;3;6;5;4;1;4;4;6;2;4;4;51
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-
"150550 Paragominas";5;2;-;-;-;3;2;7;4;7;4;2;36
"150553 Parauapebas";6;5;1;1;3;4;3;7;3;12;8;2;55
"150555 Pau D'Arco";-;-;-;-;-;1;-;-;-;-;-;-;1
"150560 Peixe-Boi";-;-;-;-;-;-;-;-;-;-;-;-;-
"150563 Piçarra";-;-;-;1;-;-;-;-;-;-;-;1;2
"150565 Placas";4;1;-;-;-;-;-;1;2;1;4;1;14
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;-;-;-;-;-
"150580 Portel";12;8;5;2;2;5;2;3;9;4;4;3;59
"150590 Porto de Moz";2;-;-;-;2;1;2;1;2;2;-;1;13
"150600 Prainha";2;2;5;2;1;1;8;5;4;3;2;4;39
"150610 Primavera";-;1;-;-;-;-;-;-;-;-;-;-;1
"150611 Quatipuru";-;-;-;-;-;-;-;-;-;-;-;-;-
"150613 Redenção";-;1;-;-;-;-;1;1;2;-;-;-;5
"150616 Rio Maria";1;-;-;-;-;-;-;1;-;1;-;-;3
"150618 Rondon do Pará";1;2;1;-;-;-;-;5;4;2;3;1;19
"150619 Rurópolis";3;1;-;2;5;-;3;1;1;2;3;2;23
"150620 Salinópolis";1;-;-;1;-;-;-;-;-;-;1;1;4
"150630 Salvaterra";-;-;-;-;-;-;-;-;-;-;-;-;-
"150635 Santa Bárbara do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-;-;-;-;-;-;-
"150650 Santa Izabel do Pará";-;-;-;1;-;-;-;-;-;-;-;-;1
"150655 Santa Luzia do Pará";1;-;1;-;-;-;-;-;-;-;-;-;2
"150658 Santa Maria das Barreiras";-;-;-;-;-;-;1;-;-;-;-;1;2
"150660 Santa Maria do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-
"150670 Santana do Araguaia";-;-;-;-;-;-;1;-;2;1;1;-;5
"150680 Santarém";7;2;4;-;2;2;2;-;2;2;5;2;30
"150690 Santarém Novo";-;-;-;-;-;-;-;-;-;-;-;-;-
"150700 Santo Antônio do Tauá";-;-;-;-;-;-;-;-;-;-;-;-;-
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-;-;-;-;-;-;-
"150715 São Domingos do Araguaia";-;-;-;-;-;1;-;-;-;-;-;-;1
"150720 São Domingos do Capim";-;-;-;-;-;-;-;-;-;-;-;-;-
"150730 São Félix do Xingu";5;5;5;5;-;3;1;4;3;5;7;2;45
"150740 São Francisco do Pará";-;1;1;-;-;-;-;-;-;1;-;-;3
"150745 São Geraldo do Araguaia";2;-;2;1;1;-;-;-;1;-;-;-;7
"150746 São João da Ponta";-;-;-;-;-;-;-;-;-;-;-;-;-
"150747 São João de Pirabas";-;-;-;-;-;-;-;-;-;-;-;-;-
"150750 São João do Araguaia";-;1;-;-;1;-;-;1;-;3;-;3;9
"150760 São Miguel do Guamá";-;-;-;-;-;-;-;-;-;-;-;-;-
"150770 São Sebastião da Boa Vista";-;-;-;-;-;-;-;-;-;-;-;-;-
"150775 Sapucaia";-;-;-;-;-;-;-;-;-;-;-;-;-
"150780 Senador José Porfírio";2;4;-;2;1;-;1;4;3;-;2;1;20
"150790 Soure";-;-;-;-;-;-;-;-;-;-;-;-;-
"150795 Tailândia";4;1;1;4;3;4;4;4;1;1;-;1;28
"150796 Terra Alta";-;-;-;-;2;1;-;1;-;-;-;-;4
"150797 Terra Santa";-;1;-;-;-;-;-;-;-;-;-;-;1
"150800 Tomé-Açu";5;5;5;5;2;5;2;3;-;3;-;3;38
"150803 Tracuateua";-;-;-;1;-;1;-;-;-;-;-;-;2
"150805 Trairão";3;2;-;1;1;-;4;1;-;1;-;1;14
"150808 Tucumã";3;1;2;2;5;2;-;1;4;2;1;8;31
"150810 Tucuruí";3;-;2;1;5;3;3;2;-;-;3;1;23
"150812 Ulianópolis";1;1;2;1;-;1;1;2;1;3;3;-;16
"150815 Uruará";9;7;4;6;2;2;5;9;3;3;2;5;57
"150820 Vigia";-;-;-;1;1;-;-;-;-;-;-;-;2
"150830 Viseu";1;2;4;1;-;-;1;-;-;-;-;-;9
"150835 Vitória do Xingu";1;1;3;1;1;1;-;-;-;1;-;1;10
"150840 Xinguara";2;1;2;2;-;1;-;-;-;2;1;1;12
"150000 Município ignorado - PA";-;-;-;-;-;-;-;-;-;-;-;1;1
"160010 Amapá";1;-;-;-;-;-;-;-;-;-;3;2;6
"160020 Calçoene";3;4;2;8;2;5;1;3;6;20;28;37;119
"160021 Cutias";-;-;-;-;-;-;-;-;-;-;-;-;-
"160023 Ferreira Gomes";1;-;-;-;-;1;-;1;-;1;2;1;7
"160025 Itaubal";-;-;-;-;-;-;-;-;-;-;-;1;1
"160027 Laranjal do Jari";3;2;4;4;3;4;3;5;3;1;1;-;33
"160030 Macapá";1;2;-;1;3;-;-;-;-;1;-;-;8
"160040 Mazagão";3;5;8;29;9;4;-;2;-;2;4;2;68
"160050 Oiapoque";2;3;10;8;6;5;5;4;-;7;7;14;71
"160015 Pedra Branca do Amapari";9;7;18;32;12;5;3;3;6;16;34;10;155
"160053 Porto Grande";4;1;3;4;4;1;2;6;3;6;16;13;63
"160055 Pracuúba";1;1;-;-;-;-;-;-;-;-;1;-;3
"160060 Santana";-;-;1;8;7;-;-;-;-;-;-;2;18
"160005 Serra do Navio";3;4;7;6;5;5;-;1;2;15;19;17;84
"160070 Tartarugalzinho";2;3;1;-;-;2;1;-;1;3;14;9;36
"160080 Vitória do Jari";1;1;-;2;-;-;2;1;-;1;2;-;10
"160000 Município ignorado - AP";-;-;-;-;-;-;-;-;-;-;-;-;-
"170025 Abreulândia";-;-;1;-;-;-;-;-;1;1;-;1;4
"170030 Aguiarnópolis";-;-;-;-;-;-;-;-;-;-;-;-;-
"170035 Aliança do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-
"170040 Almas";1;-;-;-;-;-;-;-;-;-;-;-;1
"170070 Alvorada";-;-;-;-;-;-;-;-;-;-;-;-;-
"170100 Ananás";1;1;-;1;-;-;-;-;-;-;-;-;3
"170105 Angico";1;-;-;-;1;-;-;-;-;-;-;-;2
"170110 Aparecida do Rio Negro";2;-;-;-;-;1;-;-;-;-;-;-;3
"170130 Aragominas";-;-;-;-;-;-;-;-;-;-;-;-;-
"170190 Araguacema";-;-;2;-;2;2;1;-;-;-;1;-;8
"170200 Araguaçu";-;-;-;-;-;1;1;1;-;-;-;1;4
"170210 Araguaína";2;-;1;3;-;-;1;-;-;1;-;1;9
"170215 Araguanã";1;-;-;-;-;-;-;1;-;-;-;-;2
"170220 Araguatins";1;1;-;-;-;-;-;-;-;-;-;-;2
"170230 Arapoema";-;-;-;-;-;-;-;-;-;-;-;-;-
"170240 Arraias";-;-;-;-;-;-;-;-;-;-;-;-;-
"170255 Augustinópolis";-;-;-;-;-;-;-;-;-;-;-;1;1
"170270 Aurora do Tocantins";-;-;-;-;1;-;-;-;-;-;-;1;2
"170290 Axixá do Tocantins";1;-;-;-;-;-;-;-;-;-;-;-;1
"170300 Babaçulândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-
"170307 Barra do Ouro";-;-;-;-;-;-;-;-;-;-;-;-;-
"170310 Barrolândia";-;-;-;-;-;-;-;-;-;-;-;-;-
"170320 Bernardo Sayão";-;-;-;-;-;-;-;-;-;-;-;-;-
"170330 Bom Jesus do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-;-;-;-;-;2;2
"170370 Brejinho de Nazaré";1;-;-;-;-;-;-;-;1;-;1;-;3
"170380 Buriti do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-
"170382 Cachoeirinha";-;-;-;-;-;-;-;-;-;-;-;-;-
"170384 Campos Lindos";-;-;-;-;-;-;-;-;-;-;-;-;-
"170386 Cariri do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-
"170388 Carmolândia";-;-;-;-;-;-;-;-;-;-;-;-;-
"170389 Carrasco Bonito";-;-;-;-;-;-;-;-;-;-;-;-;-
"170390 Caseara";-;-;-;-;1;1;-;-;-;-;-;-;2
"170410 Centenário";-;1;-;-;-;-;-;-;-;-;-;1;2
"170510 Chapada da Natividade";-;1;-;-;-;-;-;-;-;-;-;-;1
"170460 Chapada de Areia";-;-;-;-;1;-;-;-;-;-;-;-;1
"170550 Colinas do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"171670 Colméia";-;-;-;-;-;-;-;-;-;-;-;1;1
"170555 Combinado";1;-;1;-;1;1;-;-;-;-;-;-;4
"170560 Conceição do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-
"170600 Couto Magalhães";-;-;-;-;-;-;-;-;-;-;-;-;-
"170610 Cristalândia";1;-;-;-;-;-;-;-;-;-;-;1;2
