LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2015
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110011 Jaru";1;2;1;-;3;-;3;1;2;3;1;-;17
"110012 Ji-Paraná";-;1;1;-;1;2;3;1;2;1;1;-;13
"110013 Machadinho D'Oeste";1;4;2;2;3;2;2;2;3;4;7;3;35
"110120 Ministro Andreazza";-;-;1;1;1;-;-;-;-;1;1;1;6
"110130 Mirante da Serra";-;-;-;-;-;-;-;-;1;-;-;-;1
"110140 Monte Negro";1;3;-;5;-;-;2;-;2;2;1;-;16
"110014 Nova Brasilândia D'Oeste";-;1;-;-;-;-;1;-;1;3;-;1;7
"110033 Nova Mamoré";1;-;4;4;1;2;4;3;-;3;3;2;27
"110143 Nova União";1;1;-;1;-;1;-;-;-;-;-;-;4
"110050 Novo Horizonte do Oeste";3;-;1;1;-;-;2;-;1;2;1;-;11
"110015 Ouro Preto do Oeste";1;-;2;-;-;-;-;-;-;-;2;1;6
"110145 Parecis";-;2;-;1;1;1;-;1;4;4;-;1;15
"110018 Pimenta Bueno";3;3;-;5;4;4;5;3;6;6;2;2;43
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;1;-;-;1;-;2
"110020 Porto Velho";10;9;8;12;11;17;13;12;13;11;9;2;127
"110025 Presidente Médici";1;1;1;-;-;-;-;-;1;1;1;-;6
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;-;1;-;-;-;1
"110026 Rio Crespo";-;-;-;-;-;-;2;-;-;1;-;-;3
"110028 Rolim de Moura";4;17;4;9;8;8;8;5;5;3;4;6;81
"110029 Santa Luzia D'Oeste";4;1;1;-;-;-;1;1;-;1;3;1;13
"110148 São Felipe D'Oeste";-;-;1;-;-;-;-;1;2;-;-;-;4
"110149 São Francisco do Guaporé";1;1;5;5;3;3;2;2;6;2;1;1;32
"110032 São Miguel do Guaporé";2;-;1;1;1;-;-;5;2;5;3;3;23
"110150 Seringueiras";-;-;1;-;-;-;-;-;2;3;1;-;7
"110160 Theobroma";-;1;-;-;-;-;-;-;2;1;-;-;4
"110170 Urupá";-;1;1;-;-;1;-;-;-;-;-;-;3
"110180 Vale do Paraíso";-;-;-;-;3;1;1;-;-;-;-;-;5
"110030 Vilhena";4;6;4;1;3;13;18;16;11;4;7;2;89
"110000 Município ignorado - RO";1;1;-;-;-;-;-;-;-;-;-;-;2
"120001 Acrelândia";4;1;4;3;1;1;1;-;1;-;1;-;17
"120005 Assis Brasil";6;3;1;5;10;10;7;8;5;11;7;4;77
"120010 Brasiléia";10;4;7;7;10;9;-;4;6;4;1;-;62
"120013 Bujari";4;3;3;4;2;2;4;3;6;4;8;4;47
"120017 Capixaba";4;6;4;3;9;7;7;6;3;1;4;1;55
"120020 Cruzeiro do Sul";14;11;10;8;10;1;5;4;3;1;3;3;73
"120025 Epitaciolândia";1;3;1;1;-;1;2;1;1;3;1;3;18
"120030 Feijó";-;3;6;6;6;3;7;3;6;2;9;-;51
"120032 Jordão";2;2;4;1;-;-;1;1;1;1;1;1;15
"120033 Mâncio Lima";3;4;8;3;2;4;2;3;2;2;4;3;40
"120034 Manoel Urbano";3;1;3;1;2;2;3;2;-;2;4;4;27
"120035 Marechal Thaumaturgo";1;1;-;3;6;-;5;-;1;1;1;2;21
"120038 Plácido de Castro";3;3;3;1;2;-;1;1;1;3;2;-;20
"120080 Porto Acre";2;6;-;1;3;2;-;3;1;3;3;-;24
"120039 Porto Walter";3;2;4;2;1;2;-;-;-;-;-;-;14
"120040 Rio Branco";12;14;14;7;19;12;14;11;11;14;11;7;146
"120042 Rodrigues Alves";1;1;2;2;1;-;-;-;1;2;2;2;14
"120043 Santa Rosa do Purus";1;1;-;-;-;-;-;1;-;1;3;2;9
"120050 Sena Madureira";14;17;20;12;16;13;13;6;6;15;15;8;155
"120045 Senador Guiomard";1;1;3;1;2;2;3;1;2;2;3;1;22
"120060 Tarauacá";5;5;5;2;7;-;4;-;3;1;1;4;37
"120070 Xapuri";3;12;12;11;7;16;16;9;13;3;2;9;113
"130006 Amaturá";1;-;-;-;-;-;-;-;-;-;-;-;1
"130010 Anori";-;-;1;-;-;-;-;-;-;-;-;-;1
"130014 Apuí";-;2;-;2;1;1;1;1;1;1;2;1;13
"130020 Atalaia do Norte";1;-;1;1;-;-;1;2;2;-;-;3;11
"130030 Autazes";1;3;3;2;-;1;-;1;1;1;1;-;14
"130040 Barcelos";1;1;1;4;-;2;2;1;3;-;1;1;17
"130050 Barreirinha";3;1;1;1;2;2;1;-;1;-;1;-;13
"130060 Benjamin Constant";-;1;1;-;-;-;2;-;-;-;1;-;5
"130063 Beruri";-;-;1;-;-;-;-;-;-;-;-;-;1
"130068 Boa Vista do Ramos";-;-;-;-;1;-;-;-;1;1;-;1;4
"130070 Boca do Acre";5;3;3;7;2;7;7;6;6;-;5;4;55
"130080 Borba";-;-;4;-;1;1;2;1;2;-;-;-;11
"130083 Caapiranga";1;1;-;-;-;1;-;-;-;-;-;1;4
"130090 Canutama";-;-;-;3;3;1;1;-;1;1;-;-;10
"130100 Carauari";-;1;1;-;1;-;-;1;-;2;1;4;11
"130110 Careiro";1;-;3;-;-;-;-;-;1;1;-;-;6
"130115 Careiro da Várzea";1;1;-;-;-;-;-;-;-;-;-;-;2
"130120 Coari";3;1;-;-;-;2;3;2;1;3;1;3;19
"130130 Codajás";-;-;-;-;-;-;-;-;-;-;-;1;1
"130140 Eirunepé";1;1;3;5;5;4;3;1;1;-;-;-;24
"130150 Envira";9;4;4;3;5;2;1;1;3;-;4;3;39
"130165 Guajará";1;-;1;1;-;-;-;-;-;-;5;1;9
"130170 Humaitá";1;3;4;1;7;4;5;2;3;-;2;3;35
"130180 Ipixuna";2;1;2;1;1;-;-;1;-;-;1;-;9
"130185 Iranduba";-;-;-;-;-;-;-;-;-;3;1;1;5
"130190 Itacoatiara";6;8;10;5;1;4;3;-;3;9;12;9;70
"130200 Itapiranga";-;-;1;-;-;1;1;-;-;1;1;-;5
"130210 Japurá";-;-;-;-;-;-;-;-;-;-;1;1;2
"130230 Jutaí";-;1;-;-;-;-;-;-;-;-;-;-;1
"130240 Lábrea";3;3;-;10;9;10;5;4;2;4;4;4;58
"130250 Manacapuru";-;2;-;2;-;-;-;2;2;-;2;3;13
"130260 Manaus";35;38;15;29;19;12;7;6;24;56;143;106;490
"130270 Manicoré";4;4;-;2;6;6;8;6;2;-;2;2;42
"130280 Maraã";-;1;-;-;-;-;-;1;-;-;-;-;2
"130290 Maués";2;4;5;3;-;1;2;1;4;2;2;2;28
"130300 Nhamundá";2;2;1;4;-;1;1;2;3;3;3;2;24
"130310 Nova Olinda do Norte";-;-;-;-;-;1;1;-;-;1;-;-;3
"130320 Novo Airão";1;2;2;2;1;-;2;-;2;2;1;1;16
"130330 Novo Aripuanã";1;4;6;4;3;-;2;1;-;1;-;1;23
"130340 Parintins";1;1;1;1;-;-;1;-;1;-;1;1;8
"130350 Pauini";-;-;2;1;-;3;1;2;-;-;-;-;9
"130353 Presidente Figueiredo";32;31;25;13;2;5;4;1;11;20;59;44;247
"130356 Rio Preto da Eva";42;32;36;12;3;2;4;1;6;19;69;20;246
"130360 Santa Isabel do Rio Negro";1;-;1;-;1;1;-;1;3;-;1;-;9
"130370 Santo Antônio do Içá";-;-;-;-;-;1;-;-;-;-;1;-;2
"130380 São Gabriel da Cachoeira";-;-;-;-;-;-;-;1;1;-;-;-;2
"130390 São Paulo de Olivença";-;-;-;-;-;1;-;-;-;-;-;-;1
"130395 São Sebastião do Uatumã";1;-;-;-;-;-;-;-;-;-;-;1;2
"130400 Silves";-;-;2;2;-;1;-;-;-;1;1;-;7
"130406 Tabatinga";-;-;-;-;-;-;-;1;-;-;-;-;1
"130410 Tapauá";-;-;2;-;-;-;1;1;-;1;-;-;5
"130420 Tefé";-;2;-;-;-;1;1;1;1;-;-;-;6
"130423 Tonantins";-;-;-;-;1;-;-;3;2;-;1;-;7
"130430 Urucará";-;1;1;1;1;-;-;-;-;-;-;1;5
"130440 Urucurituba";-;-;-;1;-;-;-;-;-;-;-;-;1
"140005 Alto Alegre";2;5;4;7;4;2;6;1;-;2;-;2;35
"140002 Amajari";1;-;-;1;4;4;1;2;-;1;1;1;16
"140010 Boa Vista";1;2;-;-;2;3;-;1;-;-;2;4;15
"140015 Bonfim";-;1;1;3;2;1;-;-;-;-;-;-;8
"140017 Cantá";1;1;1;2;1;-;1;1;-;2;1;1;12
"140020 Caracaraí";1;-;2;2;2;1;3;-;-;2;1;-;14
"140023 Caroebe";9;16;20;22;19;14;7;7;4;5;-;2;125
"140028 Iracema";-;-;2;5;2;1;-;-;-;1;-;-;11
"140030 Mucajaí";3;2;1;1;1;-;3;1;-;-;-;1;13
"140045 Pacaraima";3;2;2;4;3;2;3;-;1;-;1;-;21
"140047 Rorainópolis";7;8;15;8;8;16;6;8;1;-;5;-;82
"140050 São João da Baliza";4;2;5;5;6;5;4;-;-;-;-;1;32
"140060 São Luiz";5;4;3;3;4;2;2;2;1;-;-;-;26
"140070 Uiramutã";-;-;-;-;-;1;1;-;-;-;-;-;2
"140000 Município ignorado - RR";1;-;-;-;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";-;-;-;1;-;-;-;1;-;-;1;-;3
"150013 Abel Figueiredo";1;-;3;2;2;2;-;-;1;-;-;-;11
"150020 Acará";-;1;1;-;-;-;-;-;1;-;-;-;3
"150030 Afuá";-;-;-;1;1;-;-;1;-;1;-;-;4
"150034 Água Azul do Norte";-;-;1;-;-;1;2;-;2;1;3;-;10
"150040 Alenquer";9;2;7;-;4;6;1;7;1;3;3;6;49
"150050 Almeirim";12;7;6;9;10;8;6;15;7;6;2;1;89
"150060 Altamira";8;7;10;9;8;8;7;5;6;7;7;13;95
"150080 Ananindeua";1;-;-;-;-;-;-;-;-;-;-;-;1
"150085 Anapu";23;12;18;18;6;4;5;2;6;8;4;5;111
"150090 Augusto Corrêa";2;-;-;2;-;-;1;-;-;1;2;-;8
"150095 Aurora do Pará";-;1;-;1;1;-;-;-;1;-;-;-;4
"150100 Aveiro";-;6;5;2;2;1;2;2;2;-;1;-;23
"150110 Bagre";10;2;1;4;4;5;1;-;1;-;-;1;29
"150120 Baião";3;-;2;2;1;2;-;1;2;1;2;2;18
"150125 Bannach";1;-;-;-;1;-;-;-;-;2;1;-;5
"150140 Belém";1;1;1;-;2;-;3;-;-;-;-;-;8
"150145 Belterra";5;4;4;1;1;1;-;1;-;5;4;1;27
"150157 Bom Jesus do Tocantins";1;-;-;1;1;-;1;-;-;1;-;-;5
"150160 Bonito";-;-;-;1;1;1;5;-;1;-;1;-;10
"150170 Bragança";-;-;2;5;2;1;2;2;1;2;3;3;23
"150172 Brasil Novo";9;11;27;8;2;1;2;4;3;8;10;4;89
"150175 Brejo Grande do Araguaia";-;1;2;-;-;-;-;-;-;-;-;-;3
"150178 Breu Branco";4;4;-;3;6;2;1;1;1;6;3;-;31
"150180 Breves";-;-;1;-;1;-;2;-;-;-;-;-;4
"150190 Bujaru";-;-;-;-;-;1;-;-;-;-;-;-;1
"150200 Cachoeira do Arari";-;-;-;-;-;-;-;-;1;-;-;-;1
"150195 Cachoeira do Piriá";2;2;3;5;1;4;2;1;1;3;4;3;31
"150210 Cametá";-;-;2;-;1;2;3;1;-;-;-;1;10
"150215 Canaã dos Carajás";1;-;1;1;1;1;1;2;-;2;1;2;13
"150220 Capanema";1;-;-;-;-;-;-;-;-;-;-;-;1
"150230 Capitão Poço";-;-;-;1;-;-;-;-;1;-;-;-;2
"150240 Castanhal";-;1;-;-;-;-;-;-;-;-;-;-;1
"150250 Chaves";-;-;-;1;-;-;-;-;-;-;-;-;1
"150260 Colares";1;2;-;-;-;-;-;-;-;-;1;1;5
"150270 Conceição do Araguaia";-;1;-;1;1;2;-;1;-;2;-;-;8
"150275 Concórdia do Pará";-;1;-;-;-;-;-;-;1;-;-;1;3
"150276 Cumaru do Norte";2;-;1;-;3;1;1;1;2;1;-;1;13
"150277 Curionópolis";3;4;6;-;2;2;2;1;4;3;-;1;28
"150280 Curralinho";-;1;5;-;-;-;-;2;-;-;-;2;10
"150285 Curuá";-;-;-;-;-;2;1;1;-;3;-;-;7
"150290 Curuçá";-;-;-;1;1;-;-;-;-;-;-;-;2
"150293 Dom Eliseu";-;5;2;2;4;3;4;3;1;2;7;1;34
"150295 Eldorado do Carajás";2;4;2;1;1;2;-;-;1;1;2;2;18
"150300 Faro";-;-;-;1;-;-;-;-;-;-;-;-;1
"150307 Garrafão do Norte";-;-;1;-;-;-;-;-;-;-;-;1;2
"150309 Goianésia do Pará";11;12;10;9;7;7;4;2;9;4;5;4;84
"150310 Gurupá";-;-;-;1;-;-;-;-;-;1;-;-;2
"150320 Igarapé-Açu";-;-;-;-;-;-;-;-;-;-;-;1;1
"150330 Igarapé-Miri";-;2;1;1;3;1;2;3;-;-;1;2;16
"150340 Inhangapi";-;1;-;-;-;-;-;-;-;-;-;-;1
"150345 Ipixuna do Pará";8;2;1;2;8;5;4;3;1;2;1;2;39
"150350 Irituia";1;2;-;1;-;1;1;1;-;4;-;-;11
"150360 Itaituba";13;13;10;10;15;12;11;4;12;4;7;5;116
"150370 Itupiranga";6;6;10;12;6;6;6;5;-;4;5;8;74
"150375 Jacareacanga";-;-;1;1;-;1;2;1;-;-;-;-;6
"150380 Jacundá";3;-;3;2;4;1;-;-;2;4;2;1;22
"150390 Juruti";3;-;-;1;3;1;-;3;3;3;2;2;21
"150400 Limoeiro do Ajuru";-;-;1;-;-;-;-;-;-;-;-;-;1
"150405 Mãe do Rio";-;-;-;-;-;1;1;-;-;-;1;1;4
"150420 Marabá";12;20;25;31;29;20;17;15;1;10;9;15;204
"150442 Marituba";-;-;-;1;-;-;-;-;-;-;-;-;1
"150445 Medicilândia";25;17;38;27;10;9;7;5;11;14;5;2;170
"150450 Melgaço";-;-;-;-;-;-;1;-;-;-;-;-;1
"150460 Mocajuba";-;-;1;-;-;2;1;2;-;1;1;-;8
"150470 Moju";9;4;13;6;3;1;2;-;-;1;4;-;43
"150475 Mojuí dos Campos";6;4;6;-;4;2;-;1;-;2;4;1;30
"150480 Monte Alegre";18;19;11;8;4;7;3;-;4;5;7;9;95
"150490 Muaná";-;-;1;1;1;-;-;-;-;-;-;-;3
"150495 Nova Esperança do Piriá";3;1;1;1;1;1;-;-;1;-;2;1;12
"150497 Nova Ipixuna";-;-;2;1;-;-;-;-;-;-;-;-;3
"150500 Nova Timboteua";2;-;-;-;-;-;1;-;-;-;-;-;3
"150503 Novo Progresso";3;3;9;5;5;7;4;2;3;7;3;6;57
"150506 Novo Repartimento";24;47;43;19;21;6;3;9;6;9;9;1;197
"150510 Óbidos";11;5;1;1;3;4;2;3;3;-;3;3;39
"150520 Oeiras do Pará";4;4;3;2;2;-;-;-;1;-;1;3;20
"150530 Oriximiná";14;10;7;8;7;4;2;3;2;3;5;6;71
"150543 Ourilândia do Norte";1;1;1;3;3;-;2;2;1;-;4;2;20
"150548 Pacajá";13;11;12;24;16;10;15;4;4;8;8;4;129
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;3;-;-;-;3
"150550 Paragominas";16;5;6;4;7;8;6;6;6;11;7;2;84
"150553 Parauapebas";21;14;19;17;15;13;22;22;13;8;7;5;176
"150555 Pau D'Arco";-;-;-;-;-;-;-;1;-;1;-;-;2
"150560 Peixe-Boi";-;-;-;-;-;-;1;-;-;-;-;-;1
"150563 Piçarra";-;-;-;1;1;-;-;-;-;3;-;1;6
"150565 Placas";1;1;2;3;1;3;-;1;3;3;6;6;30
"150580 Portel";22;10;19;8;20;12;8;12;3;3;5;5;127
"150590 Porto de Moz";2;-;-;-;3;1;1;-;-;2;3;1;13
"150600 Prainha";16;8;7;2;3;2;1;3;2;2;4;4;54
"150613 Redenção";1;1;2;1;1;1;-;2;-;2;3;-;14
"150616 Rio Maria";-;1;-;1;-;-;-;1;2;1;5;-;11
"150618 Rondon do Pará";4;7;7;11;5;-;3;3;-;5;6;2;53
"150619 Rurópolis";-;7;9;4;5;2;1;1;-;3;3;3;38
"150650 Santa Izabel do Pará";-;1;-;-;-;-;-;-;-;-;-;-;1
"150655 Santa Luzia do Pará";1;2;2;-;-;-;-;-;-;-;-;-;5
"150658 Santa Maria das Barreiras";1;-;2;-;-;1;-;5;2;-;-;-;11
"150670 Santana do Araguaia";1;1;-;2;1;-;1;3;2;2;1;1;15
"150680 Santarém";17;3;5;2;2;5;3;2;2;3;4;8;56
"150700 Santo Antônio do Tauá";-;-;-;-;-;1;-;-;-;-;-;-;1
"150710 São Caetano de Odivelas";-;1;-;-;1;-;-;-;-;-;-;-;2
"150715 São Domingos do Araguaia";-;1;1;1;-;-;-;-;-;1;1;-;5
"150720 São Domingos do Capim";-;1;1;-;-;-;1;-;-;-;1;-;4
"150730 São Félix do Xingu";9;15;10;2;4;8;4;6;6;2;14;5;85
"150745 São Geraldo do Araguaia";8;3;3;4;9;1;3;1;1;4;-;1;38
"150750 São João do Araguaia";3;-;3;3;1;-;-;-;-;1;2;-;13
"150760 São Miguel do Guamá";-;-;-;-;-;-;-;-;-;-;-;1;1
"150770 São Sebastião da Boa Vista";-;-;-;1;-;-;-;-;-;-;-;-;1
"150780 Senador José Porfírio";2;2;7;-;4;2;2;-;2;3;2;-;26
"150795 Tailândia";14;17;11;9;7;6;5;6;3;4;8;8;98
"150796 Terra Alta";-;-;-;-;-;1;-;-;-;-;-;-;1
"150797 Terra Santa";-;2;1;-;1;-;-;-;-;-;-;-;4
"150800 Tomé-Açu";6;5;7;5;8;9;10;7;10;5;6;3;81
"150803 Tracuateua";-;-;-;-;-;-;-;1;-;-;-;-;1
"150805 Trairão";3;4;1;5;3;-;-;-;1;-;4;6;27
"150808 Tucumã";6;2;1;2;1;-;1;3;-;5;-;1;22
"150810 Tucuruí";1;4;5;2;4;-;-;1;1;-;1;3;22
"150812 Ulianópolis";2;-;3;-;-;4;4;7;3;2;4;2;31
"150815 Uruará";31;17;45;27;10;20;17;10;7;9;11;9;213
"150820 Vigia";-;-;-;-;-;-;-;-;1;-;-;-;1
"150830 Viseu";-;-;-;-;2;-;1;-;1;1;-;-;5
"150835 Vitória do Xingu";8;4;3;1;3;3;2;-;1;-;1;1;27
"150840 Xinguara";1;-;3;2;1;-;2;1;2;2;1;1;16
"150000 Município ignorado - PA";-;-;-;-;-;-;-;-;-;-;1;-;1
"160010 Amapá";-;-;1;-;-;1;-;1;-;-;-;-;3
"160020 Calçoene";4;5;5;4;4;2;1;3;3;1;2;3;37
"160023 Ferreira Gomes";-;-;-;1;1;-;-;-;-;-;1;-;3
"160027 Laranjal do Jari";15;2;5;4;6;8;8;4;2;4;1;1;60
"160030 Macapá";2;-;3;1;-;-;-;-;-;-;2;3;11
"160040 Mazagão";3;4;10;6;6;8;2;-;5;2;1;1;48
"160050 Oiapoque";1;2;4;9;3;1;1;-;3;1;1;-;26
"160015 Pedra Branca do Amapari";6;7;14;15;3;5;3;-;2;1;10;8;74
"160053 Porto Grande";12;3;17;17;11;7;3;4;5;3;3;8;93
"160055 Pracuúba";-;-;-;-;-;1;-;-;-;-;-;2;3
"160060 Santana";-;-;3;3;-;1;-;-;-;-;-;-;7
"160005 Serra do Navio";9;4;11;3;2;2;1;1;-;-;2;3;38
"160070 Tartarugalzinho";6;-;1;3;6;2;3;6;4;4;3;2;40
"160080 Vitória do Jari";1;2;1;-;2;1;3;2;1;1;2;1;17
"170025 Abreulândia";-;-;1;1;-;-;-;1;-;-;-;-;3
"170030 Aguiarnópolis";-;1;-;1;-;-;-;-;-;-;1;-;3
"170040 Almas";-;-;-;1;-;-;-;-;1;-;3;-;5
"170100 Ananás";-;5;1;-;1;1;3;1;1;-;-;1;14
"170105 Angico";-;-;-;-;-;-;-;-;1;-;-;-;1
"170110 Aparecida do Rio Negro";-;-;2;2;-;1;-;-;1;-;-;-;6
"170130 Aragominas";-;-;-;-;-;-;1;-;-;-;-;-;1
"170190 Araguacema";-;-;3;2;1;-;3;-;-;1;-;1;11
"170200 Araguaçu";-;1;-;-;3;-;-;3;4;1;2;-;14
"170210 Araguaína";2;3;-;3;1;-;5;2;4;3;2;1;26
"170220 Araguatins";-;-;-;-;-;1;1;1;-;-;-;-;3
"170240 Arraias";1;1;-;-;-;1;-;-;-;1;-;-;4
"170255 Augustinópolis";-;-;-;-;-;-;-;1;-;-;1;-;2
"170270 Aurora do Tocantins";2;-;3;1;2;1;-;-;-;1;-;1;11
"170290 Axixá do Tocantins";-;-;-;-;-;-;2;-;-;-;-;1;3
"170300 Babaçulândia";-;-;-;-;-;-;-;-;-;1;-;-;1
"170307 Barra do Ouro";-;-;1;-;1;-;-;-;-;-;-;-;2
"170310 Barrolândia";-;-;1;-;-;-;1;-;-;-;-;-;2
"170320 Bernardo Sayão";-;-;-;-;-;-;-;-;-;1;-;-;1
"170330 Bom Jesus do Tocantins";1;1;-;-;-;1;-;1;-;1;-;-;5
"170360 Brasilândia do Tocantins";-;-;-;-;-;1;2;-;-;-;-;-;3
"170370 Brejinho de Nazaré";-;-;1;-;-;-;1;-;-;-;-;1;3
"170380 Buriti do Tocantins";1;-;-;-;-;-;-;-;-;-;-;-;1
"170382 Cachoeirinha";-;-;-;1;-;-;-;1;1;-;1;-;4
"170410 Centenário";-;-;-;1;-;-;-;-;-;-;-;-;1
"170510 Chapada da Natividade";-;-;-;-;1;1;-;-;-;-;-;-;2
"170460 Chapada de Areia";-;1;-;-;1;-;-;1;-;-;-;-;3
"170550 Colinas do Tocantins";-;1;-;-;-;-;-;-;-;1;2;-;4
"171670 Colméia";-;-;-;1;-;-;1;-;1;-;-;-;3
"170600 Couto Magalhães";1;-;-;2;-;-;1;-;1;-;1;-;6
"170610 Cristalândia";1;1;-;1;2;-;-;1;-;-;2;-;8
"170625 Crixás do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"170650 Darcinópolis";1;1;-;-;-;-;-;-;1;-;-;-;3
"170700 Dianópolis";2;1;-;-;-;-;1;2;-;3;-;2;11
"170710 Divinópolis do Tocantins";1;-;-;2;4;1;-;1;2;-;-;-;11
"170720 Dois Irmãos do Tocantins";-;1;-;-;-;-;-;2;3;1;-;-;7
"170730 Dueré";-;-;-;-;-;-;-;-;-;-;-;1;1
"170740 Esperantina";-;-;-;-;-;1;-;-;-;-;-;-;1
"170820 Formoso do Araguaia";-;-;-;-;1;-;-;-;-;1;-;1;3
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-;-;-;-;1;-;1
"170830 Goianorte";-;-;-;-;1;-;-;2;-;1;-;-;4
"170900 Goiatins";-;-;2;-;1;1;-;1;-;3;1;1;10
"170930 Guaraí";2;1;1;-;1;1;2;4;2;3;-;1;18
"170950 Gurupi";1;-;2;1;1;-;1;-;1;-;-;1;8
"171050 Itacajá";-;-;2;-;-;1;-;-;-;-;-;-;3
"171090 Itapiratins";-;-;1;-;1;-;-;2;-;-;-;-;4
"171110 Itaporã do Tocantins";-;-;-;-;-;-;1;1;-;-;-;-;2
"171150 Jaú do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"171180 Juarina";-;-;-;-;-;-;-;-;-;1;-;-;1
"171190 Lagoa da Confusão";-;-;-;-;-;-;1;-;-;-;-;-;1
"171200 Lajeado";-;1;1;-;-;-;-;2;1;-;-;-;5
"171215 Lavandeira";-;-;-;-;-;1;-;1;-;-;1;-;3
"171240 Lizarda";-;2;-;-;-;-;-;-;-;-;-;-;2
"171245 Luzinópolis";-;-;-;-;-;-;-;1;2;-;1;-;4
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-;1;1;-;-;-;2
"171280 Maurilândia do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"171320 Miracema do Tocantins";-;-;1;1;-;1;-;-;1;3;2;1;10
"171330 Miranorte";-;-;1;-;1;-;-;-;1;-;-;-;3
"171360 Monte do Carmo";1;2;1;3;-;2;1;-;-;2;2;4;18
"171370 Monte Santo do Tocantins";-;1;1;1;-;1;-;-;-;-;3;-;7
"171395 Muricilândia";-;-;-;-;-;-;-;-;1;-;-;-;1
"171420 Natividade";-;-;-;-;-;-;-;-;-;-;1;-;1
"171430 Nazaré";-;-;-;-;-;-;-;1;-;-;1;-;2
"171488 Nova Olinda";-;-;-;-;-;-;-;1;-;-;-;-;1
"171500 Nova Rosalândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"171510 Novo Acordo";-;-;-;-;-;-;1;-;-;-;-;-;1
"171515 Novo Alegre";1;-;-;-;-;1;-;-;-;-;1;-;3
"171525 Novo Jardim";-;1;-;-;-;-;-;-;1;2;-;-;4
"172100 Palmas";6;3;3;9;5;5;8;7;6;3;7;2;64
"171570 Palmeirante";1;-;-;-;-;-;-;-;1;-;-;-;2
"171380 Palmeiras do Tocantins";-;-;1;-;-;1;-;1;2;-;-;-;5
"171575 Palmeirópolis";1;-;1;-;-;1;-;2;1;-;3;-;9
"171610 Paraíso do Tocantins";1;-;1;-;-;-;1;-;-;3;1;2;9
"171630 Pau D'Arco";-;-;-;-;1;-;-;-;-;-;-;-;1
"171650 Pedro Afonso";2;-;-;-;1;1;-;1;-;1;-;-;6
"171665 Pequizeiro";-;-;-;-;-;-;-;-;-;-;-;1;1
"171700 Pindorama do Tocantins";-;-;-;-;1;-;-;2;-;-;-;-;3
"171720 Piraquê";-;-;-;-;-;-;-;1;-;-;1;-;2
"171750 Pium";-;-;-;2;2;-;-;1;-;-;1;-;6
